reference_month,release_date,release_url
2019-04,2019-05-03,https://www.bls.gov/news.release/archives/empsit_05032019.htm
2019-05,2019-06-07,https://www.bls.gov/news.release/archives/empsit_06072019.htm
2019-06,2019-07-05,https://www.bls.gov/news.release/archives/empsit_07052019.htm
2019-07,2019-08-02,https://www.bls.gov/news.release/archives/empsit_08022019.htm
2019-08,2019-09-06,https://www.bls.gov/news.release/archives/empsit_09062019.htm
2019-09,2019-10-04,https://www.bls.gov/news.release/archives/empsit_10042019.htm
2019-10,2019-11-01,https://www.bls.gov/news.release/archives/empsit_11012019.htm
2019-11,2019-12-06,https://www.bls.gov/news.release/archives/empsit_12062019.htm
2019-12,2020-01-10,https://www.bls.gov/news.release/archives/empsit_01102020.htm
2020-01,2020-02-07,https://www.bls.gov/news.release/archives/empsit_02072020.htm
2020-02,2020-03-06,https://www.bls.gov/news.release/archives/empsit_03062020.htm
2020-03,2020-04-03,https://www.bls.gov/news.release/archives/empsit_04032020.htm
2020-04,2020-05-08,https://www.bls.gov/news.release/archives/empsit_05082020.htm
2020-05,2020-06-05,https://www.bls.gov/news.release/archives/empsit_06052020.htm
2020-06,2020-07-02,https://www.bls.gov/news.release/archives/empsit_07022020.htm
2020-07,2020-08-07,https://www.bls.gov/news.release/archives/empsit_08072020.htm
2020-08,2020-09-04,https://www.bls.gov/news.release/archives/empsit_09042020.htm
2020-09,2020-10-02,https://www.bls.gov/news.release/archives/empsit_10022020.htm
2020-10,2020-11-06,https://www.bls.gov/news.release/archives/empsit_11062020.htm
2020-11,2020-12-04,https://www.bls.gov/news.release/archives/empsit_12042020.htm
2020-12,2021-01-08,https://www.bls.gov/news.release/archives/empsit_01082021.htm
2021-01,2021-02-05,https://www.bls.gov/news.release/archives/empsit_02052021.htm
2021-02,2021-03-05,https://www.bls.gov/news.release/archives/empsit_03052021.htm
2021-03,2021-04-02,https://www.bls.gov/news.release/archives/empsit_04022021.htm
2021-04,2021-05-07,https://www.bls.gov/news.release/archives/empsit_05072021.htm
2021-05,2021-06-04,https://www.bls.gov/news.release/archives/empsit_06042021.htm
2021-06,2021-07-02,https://www.bls.gov/news.release/archives/empsit_07022021.htm
2021-07,2021-08-06,https://www.bls.gov/news.release/archives/empsit_08062021.htm
2021-08,2021-09-03,https://www.bls.gov/news.release/archives/empsit_09032021.htm
2021-09,2021-10-08,https://www.bls.gov/news.release/archives/empsit_10082021.htm
2021-10,2021-11-05,https://www.bls.gov/news.release/archives/empsit_11052021.htm
2021-11,2021-12-03,https://www.bls.gov/news.release/archives/empsit_12032021.htm
2021-12,2022-01-07,https://www.bls.gov/news.release/archives/empsit_01072022.htm
2022-01,2022-02-04,https://www.bls.gov/news.release/archives/empsit_02042022.htm
2022-02,2022-03-04,https://www.bls.gov/news.release/archives/empsit_03042022.htm
2022-03,2022-04-01,https://www.bls.gov/news.release/archives/empsit_04012022.htm
2022-04,2022-05-06,https://www.bls.gov/news.release/archives/empsit_05062022.htm
2022-05,2022-06-03,https://www.bls.gov/news.release/archives/empsit_06032022.htm
2022-06,2022-07-08,https://www.bls.gov/news.release/archives/empsit_07082022.htm
2022-07,2022-08-05,https://www.bls.gov/news.release/archives/empsit_08052022.htm
2022-08,2022-09-02,https://www.bls.gov/news.release/archives/empsit_09022022.htm
2022-09,2022-10-07,https://www.bls.gov/news.release/archives/empsit_10072022.htm
2022-10,2022-11-04,https://www.bls.gov/news.release/archives/empsit_11042022.htm
2022-11,2022-12-02,https://www.bls.gov/news.release/archives/empsit_12022022.htm
2022-12,2023-01-06,https://www.bls.gov/news.release/archives/empsit_01062023.htm
2023-01,2023-02-03,https://www.bls.gov/news.release/archives/empsit_02032023.htm
2023-02,2023-03-10,https://www.bls.gov/news.release/archives/empsit_03102023.htm
2023-03,2023-04-07,https://www.bls.gov/news.release/archives/empsit_04072023.htm
2023-04,2023-05-05,https://www.bls.gov/news.release/archives/empsit_05052023.htm
2023-05,2023-06-02,https://www.bls.gov/news.release/archives/empsit_06022023.htm
2023-06,2023-07-07,https://www.bls.gov/news.release/archives/empsit_07072023.htm
2023-07,2023-08-04,https://www.bls.gov/news.release/archives/empsit_08042023.htm
2023-08,2023-09-01,https://www.bls.gov/news.release/archives/empsit_09012023.htm
2023-09,2023-10-06,https://www.bls.gov/news.release/archives/empsit_10062023.htm
2023-10,2023-11-03,https://www.bls.gov/news.release/archives/empsit_11032023.htm
2023-11,2023-12-08,https://www.bls.gov/news.release/archives/empsit_12082023.htm
2023-12,2024-01-05,https://www.bls.gov/news.release/archives/empsit_01052024.htm
2024-01,2024-02-02,https://www.bls.gov/news.release/archives/empsit_02022024.htm
2024-02,2024-03-08,https://www.bls.gov/news.release/archives/empsit_03082024.htm
2024-03,2024-04-05,https://www.bls.gov/news.release/archives/empsit_04052024.htm
2024-04,2024-05-03,https://www.bls.gov/news.release/archives/empsit_05032024.htm
2024-05,2024-06-07,https://www.bls.gov/news.release/archives/empsit_06072024.htm
2024-06,2024-07-05,https://www.bls.gov/news.release/archives/empsit_07052024.htm
2024-07,2024-08-02,https://www.bls.gov/news.release/archives/empsit_08022024.htm
2024-08,2024-09-06,https://www.bls.gov/news.release/archives/empsit_09062024.htm
2024-09,2024-10-04,https://www.bls.gov/news.release/archives/empsit_10042024.htm
2024-10,2024-11-01,https://www.bls.gov/news.release/archives/empsit_11012024.htm
2024-11,2024-12-06,https://www.bls.gov/news.release/archives/empsit_12062024.htm
2024-12,2025-01-10,https://www.bls.gov/news.release/archives/empsit_01102025.htm
2025-01,2025-02-07,https://www.bls.gov/news.release/archives/empsit_02072025.htm
2025-02,2025-03-07,https://www.bls.gov/news.release/archives/empsit_03072025.htm
2025-03,2025-04-04,https://www.bls.gov/news.release/archives/empsit_04042025.htm
2025-04,2025-05-02,https://www.bls.gov/news.release/archives/empsit_05022025.htm
2025-05,2025-06-06,https://www.bls.gov/news.release/archives/empsit_06062025.htm
2025-06,2025-07-03,https://www.bls.gov/news.release/archives/empsit_07032025.htm
2025-07,2025-08-01,https://www.bls.gov/news.release/archives/empsit_08012025.htm
2025-08,2025-09-05,https://www.bls.gov/news.release/archives/empsit_09052025.htm
2025-09,2025-11-20,https://www.bls.gov/news.release/archives/empsit_11202025.htm
2025-11,2025-12-16,https://www.bls.gov/news.release/archives/empsit_12162025.htm
2025-12,2026-01-09,https://www.bls.gov/news.release/archives/empsit_01092026.htm
2026-01,2026-02-11,https://www.bls.gov/news.release/archives/empsit_02112026.htm
2026-02,2026-03-06,https://www.bls.gov/news.release/archives/empsit_03062026.htm
2026-03,2026-04-03,https://www.bls.gov/news.release/archives/empsit_04032026.htm
2026-04,2026-05-08,https://www.bls.gov/news.release/archives/empsit_05082026.htm
2026-05,2026-06-05,https://www.bls.gov/news.release/archives/empsit_06052026.htm
2026-06,2026-07-02,https://www.bls.gov/news.release/archives/empsit_07022026.htm
2026-07,2026-08-07,https://www.bls.gov/news.release/archives/empsit_08072026.htm
2026-08,2026-09-04,https://www.bls.gov/news.release/archives/empsit_09042026.htm
