benchmark_year,period_label,reference_month,frequency,realized_text,forecast_text,difference_text,source_file,source_locator
2014,Dec-13,2013-12-01,monthly,-26,-12,-14,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Jan-14,2014-01-01,monthly,-252,-307,55,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Feb-14,2014-02-01,monthly,141,124,17,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Mar-14,2014-03-01,monthly,64,75,-11,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2014,Total,,annual,971,769,202,bls/benchmark/ces-benchmark-revision-2014.pdf,"Table 7, PDF page 28"
2015,Apr-14,2014-04-01,monthly,250,263,-13,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,May-14,2014-05-01,monthly,249,204,45,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Jun-14,2014-06-01,monthly,112,129,-17,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Jul-14,2014-07-01,monthly,99,122,-23,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Aug-14,2014-08-01,monthly,143,104,39,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Sep-14,2014-09-01,monthly,-37,-19,-18,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Oct-14,2014-10-01,monthly,204,164,40,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Nov-14,2014-11-01,monthly,8,16,-8,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Dec-14,2014-12-01,monthly,-21,-15,-6,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Jan-15,2015-01-01,monthly,-202,-275,73,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Feb-15,2015-02-01,monthly,125,132,-7,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Mar-15,2015-03-01,monthly,46,72,-26,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2015,Total,,annual,976,897,79,bls/benchmark/ces-benchmark-revision-2015.pdf,"Table 7, PDF page 31"
2016,Apr-15,2015-04-01,monthly,324,223,101,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,May-15,2015-05-01,monthly,256,217,39,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Jun-15,2015-06-01,monthly,97,114,-17,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Jul-15,2015-07-01,monthly,187,115,72,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Aug-15,2015-08-01,monthly,121,115,6,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Sep-15,2015-09-01,monthly,-75,-31,-44,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Oct-15,2015-10-01,monthly,288,178,110,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Nov-15,2015-11-01,monthly,-2,13,-15,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Dec-15,2015-12-01,monthly,-28,-16,-12,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Jan-16,2016-01-01,monthly,-289,-233,-56,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Feb-16,2016-02-01,monthly,113,129,-16,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Mar-16,2016-03-01,monthly,-5,64,-69,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
2016,Total,,annual,987,888,99,bls/benchmark/ces-benchmark-revision-2016.pdf,"Table 7, PDF page 29"
