publication_id,publication_kind,benchmark_year,qcew_year,qcew_quarter,release_order,publication_date,release_time_et,source_file,source_locator,source_url
benchmark_preliminary_2026,benchmark_preliminary,2026,,,,2026-08-28,10:00:00,bls/preliminary/prebmk-2026.htm,release date or header,https://www.bls.gov/news.release/archives/prebmk_08282026.htm
qcew_2017_q1_0,qcew_revision,,2017,1,0,2017-09-06,10:00:00,bls/qcew-release-archive.htm,2017 Q1 release link,https://www.bls.gov/news.release/archives/cewqtr_09062017.htm
qcew_2017_q1_1,qcew_revision,,2017,1,1,2017-12-05,10:00:00,bls/qcew-release-archive.htm,2017 Q2 release link,https://www.bls.gov/news.release/archives/cewqtr_12052017.htm
qcew_2017_q1_2,qcew_revision,,2017,1,2,2018-03-08,10:00:00,bls/qcew-release-archive.htm,2017 Q3 release link,https://www.bls.gov/news.release/archives/cewqtr_03082018.htm
qcew_2017_q1_3,qcew_revision,,2017,1,3,2018-05-23,10:00:00,bls/qcew-release-archive.htm,2017 Q4 release link,https://www.bls.gov/news.release/archives/cewqtr_05232018.htm
qcew_2017_q1_4,qcew_revision,,2017,1,4,2018-08-22,10:00:00,bls/qcew-release-archive.htm,2018 Q1 release link,https://www.bls.gov/news.release/archives/cewqtr_08222018.htm
qcew_2017_q2_0,qcew_revision,,2017,2,0,2017-12-05,10:00:00,bls/qcew-release-archive.htm,2017 Q2 release link,https://www.bls.gov/news.release/archives/cewqtr_12052017.htm
qcew_2017_q2_1,qcew_revision,,2017,2,1,2018-03-08,10:00:00,bls/qcew-release-archive.htm,2017 Q3 release link,https://www.bls.gov/news.release/archives/cewqtr_03082018.htm
qcew_2017_q2_2,qcew_revision,,2017,2,2,2018-05-23,10:00:00,bls/qcew-release-archive.htm,2017 Q4 release link,https://www.bls.gov/news.release/archives/cewqtr_05232018.htm
qcew_2017_q2_3,qcew_revision,,2017,2,3,2018-08-22,10:00:00,bls/qcew-release-archive.htm,2018 Q1 release link,https://www.bls.gov/news.release/archives/cewqtr_08222018.htm
qcew_2017_q3_0,qcew_revision,,2017,3,0,2018-03-08,10:00:00,bls/qcew-release-archive.htm,2017 Q3 release link,https://www.bls.gov/news.release/archives/cewqtr_03082018.htm
qcew_2017_q3_1,qcew_revision,,2017,3,1,2018-05-23,10:00:00,bls/qcew-release-archive.htm,2017 Q4 release link,https://www.bls.gov/news.release/archives/cewqtr_05232018.htm
