source_id,role,benchmark_year,status,url,file,capture_timestamp,original_url,source_locator
rse-change-2017,rse_change,2017,available,https://web.archive.org/web/20181116034816id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2017.htm,20181116034816,https://www.bls.gov/web/empsit/cestn.htm,Table 4
rse-change-2018,rse_change,2018,available,https://web.archive.org/web/20190330102338id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2018.htm,20190330102338,https://www.bls.gov/web/empsit/cestn.htm,Table 4
rse-change-2019,rse_change,2019,available,https://web.archive.org/web/20200318085302id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2019.htm,20200318085302,https://www.bls.gov/web/empsit/cestn.htm,Table 4
rse-change-2020,rse_change,2020,available,https://web.archive.org/web/20210310075038id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2020.htm,20210310075038,https://www.bls.gov/web/empsit/cestn.htm,Table 4
rse-change-2021,rse_change,2021,available,https://web.archive.org/web/20220209230654id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2021.htm,20220209230654,https://www.bls.gov/web/empsit/cestn.htm,Table 4
rse-change-2022,rse_change,2022,available,https://web.archive.org/web/20230205035743id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2022.htm,20230205035743,https://www.bls.gov/web/empsit/cestn.htm,Table 4
rse-change-2023,rse_change,2023,available,https://web.archive.org/web/20240302202835id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2023.htm,20240302202835,https://www.bls.gov/web/empsit/cestn.htm,Table 4
rse-change-2024,rse_change,2024,available,https://web.archive.org/web/20250213010818id_/https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2024.htm,20250213010818,https://www.bls.gov/web/empsit/cestn.htm,Table 4
rse-change-2025,rse_change,2025,available,https://www.bls.gov/web/empsit/cestn.htm,internet-archive/rse-change/rse-change-2025.htm,,,Table 4
preliminary-2000,publication_evidence,2000,available,https://www.bls.gov/news.release/history/jec_11032000.txt,bls/preliminary/jec-2000.txt,,,preliminary benchmark release date
preliminary-2001,publication_evidence,2001,available,https://www.bls.gov/news.release/history/jec_10052001.txt,bls/preliminary/jec-2001.txt,,,preliminary benchmark release date
preliminary-2002,publication_evidence,2002,available,https://www.bls.gov/news.release/archives/empsit_10042002.pdf,bls/preliminary/empsit-2002.pdf,,,preliminary benchmark release date
preliminary-2003,publication_evidence,2003,available,https://www.bls.gov/news.release/archives/empsit_10032003.pdf,bls/preliminary/empsit-2003.pdf,,,preliminary benchmark release date
preliminary-2004,publication_evidence,2004,available,https://www.bls.gov/news.release/archives/empsit_10082004.pdf,bls/preliminary/empsit-2004.pdf,,,preliminary benchmark release date
preliminary-2005,publication_evidence,2005,available,https://www.bls.gov/news.release/archives/empsit_10072005.pdf,bls/preliminary/empsit-2005.pdf,,,preliminary benchmark release date
preliminary-2006,publication_evidence,2006,available,https://www.bls.gov/news.release/archives/empsit_10062006.pdf,bls/preliminary/empsit-2006.pdf,,,preliminary benchmark release date
preliminary-2007,publication_evidence,2007,available,https://www.bls.gov/news.release/archives/empsit_10052007.pdf,bls/preliminary/empsit-2007.pdf,,,preliminary benchmark release date
preliminary-2008,publication_evidence,2008,available,https://www.bls.gov/news.release/archives/empsit_10032008.pdf,bls/preliminary/empsit-2008.pdf,,,preliminary benchmark release date
preliminary-2009,publication_evidence,2009,available,https://www.bls.gov/news.release/archives/empsit_10022009.pdf,bls/preliminary/empsit-2009.pdf,,,preliminary benchmark release date
preliminary-2010,publication_evidence,2010,available,https://www.bls.gov/news.release/archives/empsit_10082010.pdf,bls/preliminary/empsit-2010.pdf,,,preliminary benchmark release date
preliminary-2011,publication_evidence,2011,available,https://www.bls.gov/news.release/archives/empsit_10072011.pdf,bls/preliminary/empsit-2011.pdf,,,preliminary benchmark release date
preliminary-2012,publication_evidence,2012,available,https://www.bls.gov/news.release/archives/empsit_10052012.pdf,bls/preliminary/empsit-2012.pdf,,,preliminary benchmark release date
preliminary-2013,publication_evidence,2013,available,https://www.bls.gov/news.release/archives/empsit_10222013.pdf,bls/preliminary/empsit-2013.pdf,,,preliminary benchmark release date
preliminary-2014,publication_evidence,2014,available,https://www.bls.gov/news.release/archives/empsit_10032014.pdf,bls/preliminary/empsit-2014.pdf,,,preliminary benchmark release date
preliminary-2015,publication_evidence,2015,available,https://www.bls.gov/news.release/archives/empsit_10022015.pdf,bls/preliminary/empsit-2015.pdf,,,preliminary benchmark release date
preliminary-2016,publication_evidence,2016,available,https://www.bls.gov/news.release/archives/empsit_10072016.pdf,bls/preliminary/empsit-2016.pdf,,,preliminary benchmark release date
preliminary-2017,publication_evidence,2017,available,https://www.bls.gov/news.release/archives/empsit_10062017.pdf,bls/preliminary/empsit-2017.pdf,,,preliminary benchmark release date
preliminary-2018,publication_evidence,2018,available,https://www.bls.gov/news.release/archives/empsit_10052018.pdf,bls/preliminary/empsit-2018.pdf,,,preliminary benchmark release date
preliminary-2019,publication_evidence,2019,available,https://www.bls.gov/blog/2019/what-is-benchmarking-of-bureau-of-labor-statistics-employment-data.htm,bls/preliminary/preliminary-2019.htm,,,preliminary benchmark release date
preliminary-2020,publication_evidence,2020,available,https://www.bls.gov/ces/notices/2020/2020-ces-benchmark-revision.htm,bls/preliminary/preliminary-2020.htm,,,preliminary benchmark release date
preliminary-2021,publication_evidence,2021,available,https://www.bls.gov/ces/notices/2021/2021-ces-preliminary-benchmark-revision.htm,bls/preliminary/preliminary-2021.htm,,,preliminary benchmark release date
preliminary-2022,publication_evidence,2022,available,https://www.bls.gov/ces/notices/2022/2022-ces-preliminary-benchmark-revision.htm,bls/preliminary/preliminary-2022.htm,,,preliminary benchmark release date
preliminary-2023,publication_evidence,2023,available,https://www.bls.gov/ces/notices/2023/2023-preliminary-benchmark-revision.htm,bls/preliminary/preliminary-2023.htm,,,preliminary benchmark release date
preliminary-2024,publication_evidence,2024,available,https://www.bls.gov/ces/notices/2024/2024-preliminary-benchmark-revision.htm,bls/preliminary/preliminary-2024.htm,,,preliminary benchmark release date
preliminary-2025,publication_evidence,2025,available,https://www.bls.gov/news.release/archives/prebmk_09092025.htm,bls/preliminary/prebmk-2025.htm,,,preliminary benchmark release date
preliminary-2026,publication_evidence,2026,available,https://www.bls.gov/news.release/archives/prebmk_08282026.htm,bls/preliminary/prebmk-2026.htm,,,preliminary benchmark release date
cbj-2024,sample_metadata,,available,https://www.dol.gov/sites/dolgov/files/general/budget/2024/CBJ-2024-V3-01.pdf,dol/cbj-2024-v3-01.pdf,,,FY2024 BLS budget justification
cbj-2027,sample_metadata,,available,https://www.dol.gov/sites/dolgov/files/general/budget/2027/CBJ-2027-V3-01.pdf,dol/cbj-2027-v3-01.pdf,,,FY2027 BLS budget justification
